HIP,VMAG,RA_DEG,DEC_DEG
 73394, 6.20,224.9823844,-75.03261964
110712, 6.12,336.46260706,-75.01571925
 22871, 5.47,73.79641541,-74.93700232
  3781, 5.09,12.14632729,-74.92335356
 45581, 5.28,139.35504716,-74.89439024
 65468, 5.04,201.28066834,-74.88749735
 69090, 6.02,212.11544595,-74.85072342
 29271, 5.08,92.55918047,-74.7525279
 45585, 5.86,139.36514198,-74.73467629
 84510, 6.24,259.14874621,-74.53288068
 52150, 6.08,159.81640749,-74.49338395
 36914, 6.33,113.84025431,-74.27500789
 17678, 3.26,56.80929799,-74.23924251
 58810, 6.44,180.93557093,-74.21408634
 50954, 3.99,156.09891874,-74.03154474
 50976, 6.18,156.18568628,-73.97175863
 90930, 5.88,278.23053953,-73.96538378
 26169, 5.79,83.68659342,-73.74136684
 89234, 5.86,273.14235762,-73.67177867
 11095, 5.99,35.71864225,-73.64582097
 24507, 6.49,78.85368002,-73.58848926
114268, 6.18,347.14811916,-73.58611126
 76750, 5.64,235.08899554,-73.44663458
 41003, 5.28,125.51884143,-73.40005893
 76013, 5.40,232.87841929,-73.38954647
 41907, 6.11,128.17448213,-73.35696538
 39041, 6.33,119.81573907,-73.24412159
 51495, 4.94,157.75864399,-73.2215089
 72833, 5.59,223.30640336,-73.19015457
104440, 5.67,317.33965419,-73.17226994
 32222, 6.36,100.90305337,-73.11796953
 46741, 5.46,142.90134667,-73.08091865
 23737, 6.26,76.53858384,-73.03782413
 61181, 5.88,188.04122968,-73.00104307
 92394, 6.04,282.43198464,-72.99571254
 55332, 6.46,169.96181267,-72.95827692
 98495, 3.97,300.14747226,-72.91018443
 74421, 6.02,228.14169683,-72.77056092
 59851, 6.21,184.09947877,-72.61445993
 37504, 3.93,115.45498347,-72.60613528
 44599, 4.47,136.28679299,-72.60269387
 43351, 6.10,132.45890766,-72.5512595
104597, 6.18,317.83694548,-72.54427874
 97534, 5.39,297.35538694,-72.50341408
 55979, 6.09,172.07692869,-72.47396862
 52535, 6.26,161.11356183,-72.44362716
 22717, 6.28,73.2738923,-72.40833805
 78868, 5.70,241.48284121,-72.40107181
 55657, 5.55,171.04657107,-72.25660192
110618, 5.28,336.14329493,-72.25377388
 63165, 5.93,194.13216726,-72.18518249
 65289, 6.06,200.71925349,-72.14667406
 61199, 3.84,188.11712896,-72.1329759
 64994, 6.04,199.8291397,-72.03547781
 55350, 6.41,170.01734764,-71.99433341
 51438, 4.72,157.58364619,-71.99271995
 62608, 5.55,192.43728988,-71.98624542
 14131, 5.51,45.56415553,-71.90249547
105768, 6.09,321.32505314,-71.79907257
 46407, 6.33,141.95494967,-71.7812037
 17543, 6.26,56.34873335,-71.65823679
 75959, 6.39,232.70497336,-71.65408347
 46358, 5.46,141.77707532,-71.60209195
 63613, 3.61,195.56573968,-71.54879865
 40817, 5.33,124.95414818,-71.51499632
 40834, 5.63,125.0023296,-71.50546247
 58706, 6.41,180.61910492,-71.48900826
 63688, 5.93,195.77233515,-71.47572327
 35946, 6.49,111.1546398,-71.47075644
   377, 5.59,1.17188841,-71.43685835
 54673, 6.34,167.87321458,-71.43619887
 91792, 4.01,280.75889095,-71.42772867
 48715, 6.30,149.04066795,-71.38930933
 23467, 5.30,75.67918703,-71.31432608
  2629, 6.11,8.34677242,-71.26621472
101570, 6.41,308.77641961,-71.18880857
 82944, 6.46,254.25443644,-71.11155701
107423, 6.02,326.37002172,-71.00882172
 81141, 5.50,248.58070589,-70.98806509
 32912, 5.41,102.86241294,-70.96347336
 21949, 5.53,70.76644496,-70.93111187
 54327, 5.58,166.70803819,-70.87793836
 52520, 6.25,161.08376292,-70.85972326
 52537, 6.43,161.13508599,-70.85525541
 84158, 6.21,258.08269833,-70.72089238
 53272, 5.99,163.42553924,-70.72033781
 65522, 5.65,201.45999506,-70.62725069
 44626, 4.66,136.40992522,-70.53852074
 34481, 3.78,107.18676883,-70.49919435
 34473, 5.68,107.1764228,-70.49734046
117105, 6.06,356.10417971,-70.49037556
 93238, 6.49,284.87197851,-70.4683674
 66574, 6.11,204.69096307,-70.44475263
 32332, 6.10,101.23197446,-70.43377284
110668, 5.78,336.29329897,-70.4314706
 42425, 5.19,129.77136771,-70.38665235
112694, 6.35,342.32270149,-70.34806201
 69241, 6.07,212.62879682,-70.30545037
 76736, 6.45,235.04844303,-70.22774887
 57696, 4.98,177.48594609,-70.2257858
 59551, 6.05,183.19596584,-70.15178663
